,PMID,PICO_Entity,AOMRC_Entity,Text
0,27932540,,,
1,27932540,OBJECTIVE,A,"on a reduction in the incidence of childhood obesity .
"
2,27932540,PARTICIPANTS,P,"In school-age children .
"
3,27932540,INTERVENTIONS,I,"what is the effect of a school-based physical activity program .
"
4,27932540,INTERVENTION AND COMPARISON,I,"compared with no intervention .
"
6,27932541,,,
7,27932541,OBJECTIVE,A,"on a reduction in reported incidences of bullying .
"
8,27932541,PARTICIPANTS,P,"In high school children .
"
9,27932541,INTERVENTIONS,I,"what is the effect of a nurse-led presentation on bullying .
"
10,27932541,INTERVENTION AND COMPARISON,I,"ccompared with no intervention .
"
12,27932542,,,
13,27932542,OBJECTIVE,A,"at an increased risk of developing esophageal cancer .
"
14,27932542,PARTICIPANTS,P,"compared with males age @ and older .
"
15,27932542,INTERVENTIONS,I,"who have a history of @ year of smoking or less .
"
16,27932542,INTERVENTION AND COMPARISON,I,"who have no smoking history .
"
18,27932543,,,
19,27932543,OBJECTIVE,A,"at greater risk for developing blood clots .
"
20,27932543,PARTICIPANTS,P,"Are women ages @-@ .
"
21,27932543,INTERVENTIONS,I,"who take oral contraceptives .
"
22,27932543,INTERVENTION AND COMPARISON,I,"who use IUDs for contraception .
"
24,27932544,,,
25,27932544,OBJECTIVE,A,"more effective in detecting breast cancer .
"
26,27932544,PARTICIPANTS,P,"in women under age @ .
"
27,27932544,INTERVENTIONS,I,"Is a yearly mammogram .
"
28,27932544,INTERVENTION AND COMPARISON,I,"compared with a mammogram every @ years .
"
30,27932545,,,
31,27932545,OBJECTIVE,A,"in adults over age @ .
"
32,27932545,PARTICIPANTS,P,"In school-age children .
"
33,27932545,INTERVENTIONS,I,"Is a colonoscopy combined with fecal occult blood testing .
"
34,27932545,INTERVENTION AND COMPARISON,I,"compared with a colonoscopy alone .
"
36,27932546,,,
37,27932546,OBJECTIVE,A,"reduce the future risk of stroke .
"
38,27932546,PARTICIPANTS,P,"For women under age @ .
"
39,27932546,INTERVENTIONS,I,"does the daily use of @ mg low-dose Aspirin .
"
40,27932546,INTERVENTION AND COMPARISON,I,"compared with no usage of low-dose Aspirin .
"
42,27932546,,,
43,27932546,OBJECTIVE,A,"reduce the future risk of heart attack .
"
44,27932546,PARTICIPANTS,P,"For adults over age @ .
"
45,27932546,INTERVENTIONS,I,"does a daily @ minute exercise regimen .
"
46,27932546,INTERVENTION AND COMPARISON,I,"compared with no exercise regimen .
"
48,27932546,,,
49,27932546,OBJECTIVE,A,"influence compliance with medication regimens for hypertension .
"
50,27932546,PARTICIPANTS,P,"in adults over age @ who have hypertension .
"
51,27932546,INTERVENTIONS,I,"Does daily home blood pressure monitoring .
"
52,27932546,INTERVENTION AND COMPARISON,I,"compared with no intervention .
"
54,27932546,,,
55,27932546,OBJECTIVE,A,"improve blood glucose control .
"
56,27932546,PARTICIPANTS,P,"in people with Type @ diabetes .
"
57,27932546,INTERVENTIONS,I,"Does monitoring blood glucose @ times a day .
"
58,27932546,INTERVENTION AND COMPARISON,I,"compared with no intervention .
"
60,27932546,,,
61,27932546,OBJECTIVE,A,"perceive chemotherapy and radiation treatments .
"
62,27932546,PARTICIPANTS,P,"How do teenagers .
"
63,27932546,INTERVENTIONS,I,"diagnosed with cancer .
"
64,27932546,INTERVENTION AND COMPARISON,I,"compared with no intervention .
"
66,27932546,,,
67,27932546,OBJECTIVE,A,"perceive bonding with their infant .
"
68,27932546,PARTICIPANTS,P,"How do first-time mothers .
"
69,27932546,INTERVENTIONS,I,"of premature babies in the NICU .
"
70,27932546,INTERVENTION AND COMPARISON,I,compared with no intervention .
